Page,Title,Description,Price,Mileage
13,2023 Volvo XC60,B5 Plus Bright 4dr SUV,"$37,998","23,101 miles"
13,2016 Volvo XC60,T6 Drive-E 4dr SUV,"$19,998","67,500 miles"
13,2016 Volvo XC60,T5 Drive-E Premier 4dr SUV,"$20,998","43,361 miles"
13,2023 Volvo XC60,B5 Plus Dark 4dr SUV,"$37,998","23,368 miles"
13,2018 Volvo XC60,T6 Momentum 4dr SUV,"$24,590","42,954 miles"
13,2023 Volvo XC60,B5 Plus Dark 4dr SUV,"$37,998","24,014 miles"
13,2021 Volvo XC60,T5 Momentum 4dr SUV,"$28,998","29,290 miles"
13,2022 Volvo XC60,B5 Momentum 4dr SUV,"$32,998","27,075 miles"
13,2020 Volvo XC60,T5 Momentum 4dr SUV,"$24,590","67,198 miles"
13,2022 Volvo XC60,Recharge Plug-In Hybrid T8 Inscription Expression 4dr SUV w/Prod. End 11/21,"$38,590","31,031 miles"
13,2023 Volvo XC60,B5 Plus Bright 4dr SUV,"$32,590","28,055 miles"
13,2019 Volvo XC60,T6 R-Design 4dr SUV,"$24,990","70,113 miles"
15,2021 Volvo XC60,T5 Inscription 4dr SUV,"$29,998","36,639 miles"
15,2021 Volvo XC60,T5 Momentum 4dr SUV,"$25,998","52,145 miles"
15,2018 Volvo XC60,T6 Momentum 4dr SUV,"$25,998","54,567 miles"
15,2019 Volvo XC60,T6 Momentum 4dr SUV,"$28,998","39,482 miles"
15,2021 Volvo XC60,Recharge Plug-In Hybrid T8 Inscription Expression 4dr SUV,"$35,590","32,861 miles"
15,2019 Volvo XC60,T5 Momentum 4dr SUV,"$24,998","50,504 miles"
15,2022 Volvo XC60,B5 Inscription 4dr SUV,"$32,998","35,891 miles"
15,2022 Volvo XC60,Recharge Plug-In Hybrid T8 Inscription 4dr SUV w/Prod. End 11/21,"$40,590","43,243 miles"
15,2019 Volvo XC60,T5 Momentum 4dr SUV,"$26,998","53,965 miles"
15,2020 Volvo XC60,T5 Momentum 4dr SUV,"$26,998","59,725 miles"
15,2021 Volvo XC60,T5 Momentum 4dr SUV,"$26,998","55,683 miles"
15,2021 Volvo XC60,T5 Momentum 4dr SUV,"$26,998","56,353 miles"
15,2020 Volvo XC60,T5 Inscription 4dr SUV,"$27,998","45,682 miles"
15,2021 Volvo XC60,T6 Momentum 4dr SUV,"$27,998","50,603 miles"
15,2022 Volvo XC60,B5 Momentum 4dr SUV,"$28,998","44,805 miles"
15,2021 Volvo XC60,Recharge Plug-In Hybrid T8 Inscription Expression 4dr SUV,"$32,590","51,077 miles"
15,2022 Volvo XC60,B5 Momentum 4dr SUV,"$27,998","63,230 miles"
15,2020 Volvo XC60,T5 Momentum 4dr SUV,"$28,998","47,784 miles"
15,2016 Volvo XC60,T6 Drive-E 4dr SUV,"$20,590","39,200 miles"
15,2023 Volvo XC60,B5 Core 4dr SUV,"$37,998","5,226 miles"
15,2022 Volvo XC60,B5 Inscription 4dr SUV,"$38,998","5,625 miles"
17,2022 Volvo XC60,B5 Momentum 4dr SUV,"$33,998","23,485 miles"
17,2018 Volvo XC60,T8 Inscription Twin Engine Plug-In Hybrid 4dr SUV,"$31,998","24,535 miles"
17,2024 Volvo XC60,Recharge T8 Plus Plug-In Hybrid 4dr SUV,"$53,990",691 miles
17,2017 Volvo XC60,T5 Inscription 4dr SUV,"$20,998","54,545 miles"
17,2013 Volvo XC60,3.2 4dr SUV,"$10,899","125,230 miles"
17,2012 Volvo XC60,3.2 4dr SUV,"$12,997","85,620 miles"
17,2018 Volvo XC60,T5 Momentum 4dr SUV,"$23,990","57,337 miles"
17,2023 Volvo XC60,B5 Core 4dr SUV,"$32,998","27,201 miles"
17,2023 Volvo XC60,B5 Ultimate Dark 4dr SUV,"$42,998","25,502 miles"
17,2019 Volvo XC60,T6 Inscription 4dr SUV,"$23,628","68,287 miles"
17,2022 Volvo XC60,Recharge Plug-In Hybrid T8 Inscription 4dr SUV w/Prod. End 11/21,"$38,990","39,496 miles"
17,2019 Volvo XC60,T5 Momentum 4dr SUV,"$22,998","65,764 miles"
17,2021 Volvo XC60,T5 Momentum 4dr SUV,"$29,998","30,663 miles"
17,2022 Volvo XC60,Recharge Plug-In Hybrid T8 Inscription 4dr SUV w/Prod. End 11/21,"$43,590","18,885 miles"
17,2018 Volvo XC60,T5 R-Design 4dr SUV,"$22,498","77,448 miles"
17,2022 Volvo XC60,Recharge Plug-In Hybrid T8 Inscription Expression 4dr SUV w/Prod. End 11/21,"$41,998","28,069 miles"
17,2021 Volvo XC60,T5 Momentum 4dr SUV,"$26,904","36,681 miles"
17,2015 Volvo XC60,T5 Drive-E Premier Plus 4dr SUV w/Prod. End 6/14,"$15,990","73,406 miles"
17,2013 Volvo XC60,T6 4dr SUV,"$16,590","60,401 miles"
17,2016 Volvo XC60,T5 Premier 4dr SUV,"$17,590","77,476 miles"
17,2018 Volvo XC60,T5 Inscription 4dr SUV,"$25,998","46,946 miles"
19,2018 Volvo XC60,T8 R-Design Twin Engine Plug-In Hybrid 4dr SUV,"$29,990","30,821 miles"
19,2019 Volvo XC60,T8 R-Design Twin Engine Plug-In Hybrid 4dr SUV,"$34,998","50,545 miles"
19,2023 Volvo XC60,B5 Plus Bright 4dr SUV,"$38,990","10,933 miles"
19,2019 Volvo XC60,T5 R-Design 4dr SUV,"$24,990","50,434 miles"
19,2013 Volvo XC60,3.2 4dr SUV,"$8,359","140,292 miles"
19,2021 Volvo XC60,T5 Momentum 4dr SUV,"$29,590","37,862 miles"
19,2019 Volvo XC60,T8 R-Design Twin Engine Plug-In Hybrid 4dr SUV,"$32,590","31,527 miles"
19,2020 Volvo XC60,T6 R-Design 4dr SUV,"$30,590","40,032 miles"
19,2015 Volvo XC60,T6 Premier Plus 4dr SUV w/Prod. End 6/14,"$12,719","157,076 miles"
19,2020 Volvo XC60,T5 Inscription 4dr SUV,"$28,990","41,509 miles"
19,2020 Volvo XC60,T6 Inscription 4dr SUV,"$32,590","37,887 miles"
19,2020 Volvo XC60,T8 Momentum Twin Engine Plug-In Hybrid 4dr SUV,"$32,990","49,802 miles"
19,2021 Volvo XC60,T5 Inscription 4dr SUV,"$32,590","41,245 miles"
19,2013 Volvo XC60,3.2 4dr SUV,"$16,590","57,425 miles"
19,2016 Volvo XC60,T6 Drive-E 4dr SUV,"$18,990","65,675 miles"
19,2016 Volvo XC60,T6 4dr SUV,"$19,990","47,405 miles"
19,2017 Volvo XC60,T5 Dynamic 4dr SUV,"$19,590","67,977 miles"
19,2021 Volvo XC60,T5 Momentum 4dr SUV,Not Priced,"61,681 miles"
19,2011 Volvo XC60,T6 4dr SUV,"$7,999","142,252 miles"
19,2015 Volvo XC60,T5 Drive-E Premier 4dr SUV,"$16,590","61,404 miles"
19,Certified 2022 Volvo XC60,B5 Momentum 4dr SUV,"$35,000","37,453 miles"
