year,price,mileage
2017,"13,996","145,190"
2021,"23,850","50,176"
2022,"26,171","73,150"
2021,"26,890","55,921"
2022,"24,498","66,238"
2024,"47,498","20,109"
2021,"32,349","49,043"
2023,"34,000","10,490"
2017,"21,988","52,852"
2019,"25,500","64,108"
2022,"33,788","38,788"
2023,"28,998","49,882"
2023,"30,798","37,599"
2023,"30,300","47,961"
2024,"30,988","11,566"
2011,"12,498","124,135"
2010,"9,971","136,134"
2013,"16,940","91,613"
2023,"30,498","41,287"
2023,"30,798","38,168"
2018,"18,999","90,880"
2023,"32,500","43,453"
2021,"19,314","81,112"
2022,"28,398","54,625"
2022,"24,765","61,680"
2021,"26,389","51,510"
2020,"36,499","31,226"
2021,"28,998","40,511"
2017,"23,498","54,534"
2016,"18,091","112,533"
2022,"26,990","58,689"
2020,"19,990","44,183"
2013,"14,329","120,813"
2012,"12,914","99,620"
2021,"29,991","56,755"
2017,"21,488","59,118"
2021,"26,499","61,147"
2013,"14,490","119,312"
2020,"29,980","66,348"
2024,"34,191","42,099"
2023,"26,889","53,253"
2020,"23,990","55,288"
2023,"30,798","39,911"
2023,"33,500","49,322"
2018,"23,497","75,552"
2021,"27,993","77,163"
2023,"33,591","40,455"
2022,"25,900","44,462"
2014,"11,018","156,461"
2024,"43,174","13,154"
2022,"39,000","12,999"
2013,"10,200","191,660"
2024,"32,591","30,831"
2022,"28,398","59,576"
2020,"31,499","61,964"
2024,"49,500","2,456"
2020,"33,900","46,179"
2023,"27,689","56,494"
2024,"34,000","10,906"
2022,"25,189","59,404"
2022,"28,398","61,101"
2013,"10,599","174,797"
2024,"32,591","33,726"
2011,"8,499","171,277"
2023,"40,500","25,913"
2024,"36,798","18,209"
2023,"30,998","39,146"
2010,"11,650","122,682"
2019,"24,989","46,606"
2023,"32,997","42,867"
2019,"26,499","43,555"
2004,"6,998","206,590"
2022,"26,990","54,919"
2023,"28,798","50,367"
2019,"27,499","41,290"
2022,"32,548","41,929"
2019,"28,995","49,756"
2024,"28,985","29,272"
2024,"39,000","31,754"
2020,"22,500","107,003"
2023,"30,798","38,587"
2021,"28,291","17,793"
2023,"30,498","42,086"
2023,"28,998","45,709"
2012,"13,990","125,344"
2023,"27,499","32,546"
2021,"25,500","44,049"
2016,"16,995","147,706"
2023,"33,000","33,506"
2022,"26,520","53,755"
2024,"50,101","3,620"
2021,"30,466","49,779"
2022,"34,191","30,638"
2020,"36,498","36,831"
2021,"24,269","62,121"
2024,"31,840","30,668"
2022,"31,961","32,317"
2019,"23,991","113,910"
2023,"29,360","37,841"
2022,"29,298","19,378"
2021,"30,995","57,976"
2010,"11,498","182,318"
2021,"31,410","74,930"
2023,"30,798","37,543"
2020,"30,448","61,047"
2022,"32,125","21,197"
2020,"28,000","58,138"
2007,"9,250","172,777"
2022,"26,198","55,068"
2016,"14,497","96,168"
2022,"30,669","16,527"
2022,"24,389","57,442"
2022,"26,489","54,669"
2022,"28,998","64,381"
2019,"27,440","62,149"
2017,"21,000","50,133"
2021,"35,000","39,674"
2019,"23,900","102,969"
2023,"30,498","40,100"
2010,"6,789","234,723"
2023,"30,798","39,898"
2023,"30,798","38,566"
2020,"34,998","50,241"
2022,"23,839","51,310"
2024,"37,798","19,012"
2022,"33,098","51,907"
2021,"32,400","36,000"
2023,"31,811","18,641"
2023,"41,790","6,728"
2024,"51,000","6,818"
2023,"30,798","36,134"
2022,"26,990","57,274"
2022,"29,098","43,291"
2022,"24,689","51,064"
2023,"40,980","36,619"
2022,"37,097","47,943"
2022,"26,990","60,332"
2017,"17,988","112,785"
2023,"32,350","32,044"
2024,"32,498","27,257"
2019,"24,600","80,030"
2024,"33,000","26,727"
2020,"20,299","105,949"
2023,"30,191","47,565"
2024,"29,989","27,829"
2022,"28,498","28,360"
2023,"30,999","29,274"
